"Entry_Time","Entry_Price","Exit_Time","Exit_Price","Strategy","PnL","Status"
"2025-05-29T19:51:00.000Z",105897.65,"2025-05-29T19:52:00.000Z",105769.21,"RSI-EMA",-128,"Loss"
"2025-05-29T20:00:00.000Z",105958.25,"2025-05-29T20:09:00.000Z",105923.27,"RSI-EMA",-35,"Loss"
"2025-05-29T20:15:00.000Z",106047.62,"2025-05-29T20:24:00.000Z",106067.5,"RSI-EMA",20,"Win"
"2025-05-29T20:17:00.000Z",106083.97,"2025-05-29T20:26:00.000Z",106142.85,"MACD Crossover",59,"Win"
"2025-05-29T20:25:00.000Z",106107.25,"2025-05-29T20:41:00.000Z",106059.7,"RSI-EMA",-48,"Loss"
"2025-05-29T20:32:00.000Z",106221.9,"2025-05-29T20:35:00.000Z",106192.01,"MACD Crossover",-30,"Loss"
"2025-05-29T20:53:00.000Z",106142.86,"2025-05-29T21:25:00.000Z",106280.99,"MACD Crossover",138,"Win"
"2025-05-29T20:53:00.000Z",106142.86,"2025-05-29T20:57:00.000Z",106155.72,"RSI-EMA",13,"Win"
"2025-05-29T21:00:00.000Z",106192.59,"2025-05-29T21:02:00.000Z",106298.69,"RSI-EMA",106,"Win"
"2025-05-29T21:03:00.000Z",106286.08,"2025-05-29T21:19:00.000Z",106380.96,"RSI-EMA",95,"Win"
"2025-05-29T21:20:00.000Z",106395,"2025-05-29T21:23:00.000Z",106386.78,"RSI-EMA",-8,"Loss"
"2025-05-29T21:24:00.000Z",106311.37,"2025-05-29T21:27:00.000Z",106208.35,"RSI-EMA",-103,"Loss"
"2025-05-29T21:39:00.000Z",106295.85,"2025-05-29T21:52:00.000Z",106302.99,"MACD Crossover",7,"Win"
"2025-05-29T21:39:00.000Z",106295.85,"2025-05-29T21:48:00.000Z",106275.11,"RSI-EMA",-21,"Loss"
"2025-05-29T21:56:00.000Z",106411.43,"2025-05-29T22:00:00.000Z",106394.01,"RSI-EMA",-17,"Loss"
"2025-05-29T21:57:00.000Z",106459.9,"2025-05-29T22:05:00.000Z",106307.29,"MACD Crossover",-153,"Loss"
"2025-05-29T22:01:00.000Z",106414.84,"2025-05-29T22:03:00.000Z",106350.4,"RSI-EMA",-64,"Loss"
"2025-05-29T22:07:00.000Z",106403.29,"2025-05-29T22:13:00.000Z",106311.05,"RSI-EMA",-92,"Loss"
"2025-05-29T22:21:00.000Z",106290.31,"2025-05-29T22:25:00.000Z",106250.01,"RSI-EMA",-40,"Loss"
"2025-05-29T22:24:00.000Z",106322.19,"2025-05-29T22:26:00.000Z",106203.83,"MACD Crossover",-118,"Loss"
"2025-05-29T22:49:00.000Z",106135.51,"2025-05-29T22:55:00.000Z",106008.75,"RSI-EMA",-127,"Loss"
"2025-05-29T22:50:00.000Z",106135.51,"2025-05-29T22:57:00.000Z",105979.73,"MACD Crossover",-156,"Loss"
"2025-05-29T23:06:00.000Z",106031.61,"2025-05-29T23:18:00.000Z",105833.53,"MACD Crossover",-198,"Loss"
"2025-05-29T23:06:00.000Z",106031.61,"2025-05-29T23:12:00.000Z",105973.1,"RSI-EMA",-59,"Loss"
"2025-05-29T23:13:00.000Z",105984.12,"2025-05-29T23:17:00.000Z",105787.47,"RSI-EMA",-197,"Loss"
"2025-05-29T23:32:00.000Z",105847.65,"2025-05-29T23:34:00.000Z",105741.8,"RSI-EMA",-106,"Loss"
"2025-05-29T23:33:00.000Z",105828.17,"2025-05-29T23:48:00.000Z",105347.4,"MACD Crossover",-481,"Loss"
"2025-05-29T23:36:00.000Z",105832.01,"2025-05-29T23:37:00.000Z",105790.91,"RSI-EMA",-41,"Loss"
"2025-05-29T23:38:00.000Z",105817.56,"2025-05-29T23:48:00.000Z",105347.4,"RSI-EMA",-470,"Loss"
"2025-05-29T23:53:00.000Z",105699.99,"2025-05-29T23:55:00.000Z",105619.05,"RSI-EMA",-81,"Loss"
"2025-05-29T23:56:00.000Z",105605.85,"2025-05-30T00:29:00.000Z",106062.85,"MACD Crossover",457,"Win"
"2025-05-30T00:02:00.000Z",105758.25,"2025-05-30T00:03:00.000Z",105731.59,"RSI-EMA",-27,"Loss"
"2025-05-30T00:05:00.000Z",105871.27,"2025-05-30T00:19:00.000Z",105952.94,"RSI-EMA",82,"Win"
"2025-05-30T00:20:00.000Z",106012.65,"2025-05-30T00:27:00.000Z",106069.88,"RSI-EMA",57,"Win"
"2025-05-30T00:28:00.000Z",106001.1,"2025-05-30T00:31:00.000Z",105946.01,"RSI-EMA",-55,"Loss"
"2025-05-30T00:39:00.000Z",105937.86,"2025-05-30T00:46:00.000Z",105704.01,"RSI-EMA",-234,"Loss"
"2025-05-30T00:51:00.000Z",105636.98,"2025-05-30T00:53:00.000Z",105377.62,"RSI-EMA",-259,"Loss"
"2025-05-30T01:04:00.000Z",105101.95,"2025-05-30T01:36:00.000Z",105648.7,"MACD Crossover",547,"Win"
"2025-05-30T01:08:00.000Z",105483.13,"2025-05-30T01:09:00.000Z",105392.4,"RSI-EMA",-91,"Loss"
"2025-05-30T01:10:00.000Z",105429.47,"2025-05-30T01:11:00.000Z",105364.9,"RSI-EMA",-65,"Loss"
"2025-05-30T01:12:00.000Z",105467.66,"2025-05-30T01:19:00.000Z",105455.02,"RSI-EMA",-13,"Loss"
"2025-05-30T01:24:00.000Z",105619.05,"2025-05-30T01:34:00.000Z",105621.12,"RSI-EMA",2,"Win"
"2025-05-30T01:37:00.000Z",105764.55,"2025-05-30T01:50:00.000Z",105595.58,"RSI-EMA",-169,"Loss"
"2025-05-30T01:39:00.000Z",105821.28,"2025-05-30T01:48:00.000Z",105726.66,"MACD Crossover",-95,"Loss"
"2025-05-30T02:03:00.000Z",105838.84,"2025-05-30T02:11:00.000Z",105981.45,"RSI-EMA",143,"Win"
"2025-05-30T02:04:00.000Z",105900,"2025-05-30T02:17:00.000Z",105910.33,"MACD Crossover",10,"Win"
"2025-05-30T02:12:00.000Z",105927.47,"2025-05-30T02:13:00.000Z",105886.59,"RSI-EMA",-41,"Loss"
"2025-05-30T02:14:00.000Z",105943.69,"2025-05-30T02:16:00.000Z",105914.11,"RSI-EMA",-30,"Loss"
"2025-05-30T02:18:00.000Z",105989.95,"2025-05-30T02:30:00.000Z",105941.06,"RSI-EMA",-49,"Loss"
"2025-05-30T02:20:00.000Z",106078.42,"2025-05-30T02:26:00.000Z",105988.8,"MACD Crossover",-90,"Loss"
"2025-05-30T02:32:00.000Z",106031.91,"2025-05-30T02:33:00.000Z",105953.37,"RSI-EMA",-79,"Loss"
"2025-05-30T02:36:00.000Z",106080.91,"2025-05-30T02:37:00.000Z",106020,"RSI-EMA",-61,"Loss"
"2025-05-30T02:39:00.000Z",106066.01,"2025-05-30T02:50:00.000Z",106030.82,"RSI-EMA",-35,"Loss"
"2025-05-30T02:41:00.000Z",106118.84,"2025-05-30T02:49:00.000Z",106099.99,"MACD Crossover",-19,"Loss"
"2025-05-30T02:51:00.000Z",106047.62,"2025-05-30T02:53:00.000Z",106020,"RSI-EMA",-28,"Loss"
"2025-05-30T02:58:00.000Z",106013.01,"2025-05-30T02:59:00.000Z",106000,"RSI-EMA",-13,"Loss"
"2025-05-30T03:05:00.000Z",106002.7,"2025-05-30T03:06:00.000Z",105973.15,"RSI-EMA",-30,"Loss"
"2025-05-30T03:07:00.000Z",106045.68,"2025-05-30T03:09:00.000Z",105942.8,"RSI-EMA",-103,"Loss"
"2025-05-30T03:08:00.000Z",106019.36,"2025-05-30T03:10:00.000Z",105963.82,"MACD Crossover",-56,"Loss"
"2025-05-30T03:11:00.000Z",106017.97,"2025-05-30T03:13:00.000Z",105990.68,"RSI-EMA",-27,"Loss"
"2025-05-30T03:12:00.000Z",106021.58,"2025-05-30T03:35:00.000Z",106153.45,"MACD Crossover",132,"Win"
"2025-05-30T03:17:00.000Z",106069.92,"2025-05-30T03:21:00.000Z",106057.31,"RSI-EMA",-13,"Loss"
"2025-05-30T03:22:00.000Z",106082.01,"2025-05-30T03:25:00.000Z",106087.69,"RSI-EMA",6,"Win"
"2025-05-30T03:26:00.000Z",106128.41,"2025-05-30T03:32:00.000Z",106118.54,"RSI-EMA",-10,"Loss"
"2025-05-30T03:33:00.000Z",106167.24,"2025-05-30T03:34:00.000Z",106109.53,"RSI-EMA",-58,"Loss"
"2025-05-30T03:35:00.000Z",106153.45,"2025-05-30T03:41:00.000Z",106083.96,"RSI-EMA",-69,"Loss"
"2025-05-30T03:37:00.000Z",106172.76,"2025-05-30T03:39:00.000Z",106151.34,"MACD Crossover",-21,"Loss"
"2025-05-30T03:44:00.000Z",106109.2,"2025-05-30T03:45:00.000Z",106086.19,"RSI-EMA",-23,"Loss"
"2025-05-30T03:46:00.000Z",106084.05,"2025-05-30T03:47:00.000Z",106050.01,"RSI-EMA",-34,"Loss"
"2025-05-30T03:48:00.000Z",106102.79,"2025-05-30T03:50:00.000Z",106037.85,"RSI-EMA",-65,"Loss"
"2025-05-30T03:59:00.000Z",106024.33,"2025-05-30T04:00:00.000Z",105999.99,"RSI-EMA",-24,"Loss"
"2025-05-30T04:10:00.000Z",106019.99,"2025-05-30T04:14:00.000Z",105961.85,"RSI-EMA",-58,"Loss"
"2025-05-30T04:11:00.000Z",106044.35,"2025-05-30T04:21:00.000Z",105932.01,"MACD Crossover",-112,"Loss"
"2025-05-30T04:15:00.000Z",105992.25,"2025-05-30T04:19:00.000Z",105941.81,"RSI-EMA",-50,"Loss"
"2025-05-30T04:22:00.000Z",105984.95,"2025-05-30T04:24:00.000Z",105961.17,"RSI-EMA",-24,"Loss"
"2025-05-30T04:25:00.000Z",105999.15,"2025-05-30T04:27:00.000Z",105962.21,"RSI-EMA",-37,"Loss"
"2025-05-30T04:26:00.000Z",105999.15,"2025-05-30T04:29:00.000Z",105995.1,"MACD Crossover",-4,"Loss"
"2025-05-30T04:29:00.000Z",105995.1,"2025-05-30T04:30:00.000Z",105946.83,"RSI-EMA",-48,"Loss"
"2025-05-30T04:30:00.000Z",105946.83,"2025-05-30T04:31:00.000Z",105920.01,"MACD Crossover",-27,"Loss"
"2025-05-30T04:34:00.000Z",105962.12,"2025-05-30T04:37:00.000Z",105940.01,"RSI-EMA",-22,"Loss"
"2025-05-30T04:36:00.000Z",105975.41,"2025-05-30T05:08:00.000Z",106142.86,"MACD Crossover",167,"Win"
"2025-05-30T04:45:00.000Z",106037.17,"2025-05-30T04:51:00.000Z",106056.57,"RSI-EMA",19,"Win"
"2025-05-30T04:53:00.000Z",106095.24,"2025-05-30T04:58:00.000Z",106101.46,"RSI-EMA",6,"Win"
"2025-05-30T05:00:00.000Z",106152.82,"2025-05-30T05:04:00.000Z",106167.73,"RSI-EMA",15,"Win"
"2025-05-30T05:05:00.000Z",106165.65,"2025-05-30T05:13:00.000Z",106106.8,"RSI-EMA",-59,"Loss"
"2025-05-30T05:15:00.000Z",106116.01,"2025-05-30T05:16:00.000Z",106102.51,"RSI-EMA",-13,"Loss"
"2025-05-30T05:23:00.000Z",106173.89,"2025-05-30T05:28:00.000Z",106160.82,"RSI-EMA",-13,"Loss"
"2025-05-30T05:24:00.000Z",106201.11,"2025-05-30T05:43:00.000Z",106238.03,"MACD Crossover",37,"Win"
"2025-05-30T05:29:00.000Z",106186.33,"2025-05-30T05:32:00.000Z",106190.48,"RSI-EMA",4,"Win"
"2025-05-30T05:34:00.000Z",106224.56,"2025-05-30T05:39:00.000Z",106271.99,"RSI-EMA",47,"Win"
"2025-05-30T05:40:00.000Z",106266.02,"2025-05-30T05:48:00.000Z",106088.77,"RSI-EMA",-177,"Loss"
"2025-05-30T06:09:00.000Z",106132.69,"2025-05-30T06:17:00.000Z",106002.08,"MACD Crossover",-131,"Loss"
"2025-05-30T06:09:00.000Z",106132.69,"2025-05-30T06:15:00.000Z",106021.41,"RSI-EMA",-111,"Loss"
"2025-05-30T06:18:00.000Z",106066.63,"2025-05-30T06:19:00.000Z",106028.42,"RSI-EMA",-38,"Loss"
"2025-05-30T06:23:00.000Z",106021.99,"2025-05-30T06:24:00.000Z",106013.14,"RSI-EMA",-9,"Loss"
"2025-05-30T06:25:00.000Z",106017.7,"2025-05-30T06:27:00.000Z",105960.01,"RSI-EMA",-58,"Loss"
"2025-05-30T06:34:00.000Z",105971.97,"2025-05-30T06:37:00.000Z",105893.87,"RSI-EMA",-78,"Loss"
"2025-05-30T06:36:00.000Z",105969.99,"2025-05-30T06:39:00.000Z",105870.99,"MACD Crossover",-99,"Loss"
"2025-05-30T06:46:00.000Z",105809.8,"2025-05-30T06:47:00.000Z",105692.32,"RSI-EMA",-117,"Loss"
"2025-05-30T06:56:00.000Z",105775.83,"2025-05-30T06:57:00.000Z",105688.42,"RSI-EMA",-87,"Loss"
"2025-05-30T06:57:00.000Z",105688.42,"2025-05-30T07:09:00.000Z",105540.87,"MACD Crossover",-148,"Loss"
"2025-05-30T07:01:00.000Z",105792.42,"2025-05-30T07:08:00.000Z",105438.33,"RSI-EMA",-354,"Loss"
"2025-05-30T07:13:00.000Z",105635.11,"2025-05-30T07:14:00.000Z",105525.95,"RSI-EMA",-109,"Loss"
"2025-05-30T07:18:00.000Z",105627.23,"2025-05-30T07:31:00.000Z",105482.35,"MACD Crossover",-145,"Loss"
"2025-05-30T07:21:00.000Z",105757.6,"2025-05-30T07:32:00.000Z",105356.49,"RSI-EMA",-401,"Loss"
"2025-05-30T07:42:00.000Z",105207.17,"2025-05-30T07:43:00.000Z",105095.23,"RSI-EMA",-112,"Loss"
"2025-05-30T07:52:00.000Z",104890.76,"2025-05-30T08:16:00.000Z",105021.46,"MACD Crossover",131,"Win"
"2025-05-30T08:00:00.000Z",105125.63,"2025-05-30T08:05:00.000Z",104967.11,"RSI-EMA",-159,"Loss"
"2025-05-30T08:08:00.000Z",105167.52,"2025-05-30T08:12:00.000Z",105000.01,"RSI-EMA",-168,"Loss"
"2025-05-30T08:16:00.000Z",105021.46,"2025-05-30T08:17:00.000Z",104990.87,"RSI-EMA",-31,"Loss"
"2025-05-30T08:18:00.000Z",105055.96,"2025-05-30T08:19:00.000Z",104968.57,"RSI-EMA",-87,"Loss"
"2025-05-30T08:19:00.000Z",104968.57,"2025-05-30T08:21:00.000Z",104897.55,"MACD Crossover",-71,"Loss"
"2025-05-30T08:26:00.000Z",105152,"2025-05-30T08:41:00.000Z",105178.14,"MACD Crossover",26,"Win"
"2025-05-30T08:26:00.000Z",105152,"2025-05-30T08:34:00.000Z",105125.78,"RSI-EMA",-26,"Loss"
"2025-05-30T08:35:00.000Z",105200.01,"2025-05-30T08:40:00.000Z",105209.84,"RSI-EMA",10,"Win"
"2025-05-30T08:43:00.000Z",105272.4,"2025-05-30T08:57:00.000Z",105239.44,"RSI-EMA",-33,"Loss"
"2025-05-30T08:46:00.000Z",105356.16,"2025-05-30T08:53:00.000Z",105300.87,"MACD Crossover",-55,"Loss"
"2025-05-30T09:01:00.000Z",105285.24,"2025-05-30T09:04:00.000Z",105215.92,"RSI-EMA",-69,"Loss"
"2025-05-30T09:05:00.000Z",105304.55,"2025-05-30T09:09:00.000Z",105175.47,"RSI-EMA",-129,"Loss"
"2025-05-30T09:08:00.000Z",105218.65,"2025-05-30T09:09:00.000Z",105175.47,"MACD Crossover",-43,"Loss"
"2025-05-30T09:18:00.000Z",105284.62,"2025-05-30T09:32:00.000Z",105192.16,"RSI-EMA",-92,"Loss"
"2025-05-30T09:19:00.000Z",105290.46,"2025-05-30T09:30:00.000Z",105279.99,"MACD Crossover",-10,"Loss"
"2025-05-30T09:34:00.000Z",105177.38,"2025-05-30T09:37:00.000Z",105016.83,"RSI-EMA",-161,"Loss"
"2025-05-30T09:45:00.000Z",105141.47,"2025-05-30T09:47:00.000Z",105100.74,"RSI-EMA",-41,"Loss"
"2025-05-30T09:47:00.000Z",105100.74,"2025-05-30T10:07:00.000Z",105475.92,"MACD Crossover",375,"Win"
"2025-05-30T09:52:00.000Z",105303.96,"2025-05-30T09:53:00.000Z",105310.32,"RSI-EMA",6,"Win"
"2025-05-30T09:54:00.000Z",105429.88,"2025-05-30T10:00:00.000Z",105581.43,"RSI-EMA",152,"Win"
"2025-05-30T10:01:00.000Z",105694.13,"2025-05-30T10:03:00.000Z",105686.26,"RSI-EMA",-8,"Loss"
"2025-05-30T10:04:00.000Z",105546.8,"2025-05-30T10:09:00.000Z",105389.89,"RSI-EMA",-157,"Loss"
"2025-05-30T10:19:00.000Z",105516.73,"2025-05-30T10:20:00.000Z",105501.2,"RSI-EMA",-16,"Loss"
"2025-05-30T10:21:00.000Z",105597.48,"2025-05-30T10:27:00.000Z",105588.28,"RSI-EMA",-9,"Loss"
"2025-05-30T10:22:00.000Z",105649.99,"2025-05-30T10:35:00.000Z",105628.34,"MACD Crossover",-22,"Loss"
"2025-05-30T10:28:00.000Z",105629.6,"2025-05-30T10:34:00.000Z",105626.06,"RSI-EMA",-4,"Loss"
"2025-05-30T10:36:00.000Z",105726.83,"2025-05-30T10:42:00.000Z",105743.1,"RSI-EMA",16,"Win"
"2025-05-30T10:39:00.000Z",105767.54,"2025-05-30T10:52:00.000Z",105877.73,"MACD Crossover",110,"Win"
"2025-05-30T10:43:00.000Z",105814.08,"2025-05-30T10:50:00.000Z",105848.7,"RSI-EMA",35,"Win"
"2025-05-30T10:51:00.000Z",105835.47,"2025-05-30T11:00:00.000Z",105836.23,"RSI-EMA",1,"Win"
"2025-05-30T11:01:00.000Z",105877.34,"2025-05-30T11:02:00.000Z",105848.08,"RSI-EMA",-29,"Loss"
"2025-05-30T11:06:00.000Z",105890.21,"2025-05-30T11:13:00.000Z",105827.73,"RSI-EMA",-62,"Loss"
"2025-05-30T11:18:00.000Z",105924.82,"2025-05-30T11:26:00.000Z",105752.8,"RSI-EMA",-172,"Loss"
"2025-05-30T11:32:00.000Z",105834.54,"2025-05-30T11:33:00.000Z",105762.65,"RSI-EMA",-72,"Loss"
"2025-05-30T11:37:00.000Z",105846.62,"2025-05-30T11:41:00.000Z",105809.53,"RSI-EMA",-37,"Loss"
"2025-05-30T11:38:00.000Z",105888.88,"2025-05-30T11:47:00.000Z",105757.3,"MACD Crossover",-132,"Loss"
"2025-05-30T11:44:00.000Z",105802.39,"2025-05-30T11:46:00.000Z",105780.95,"RSI-EMA",-21,"Loss"
"2025-05-30T11:53:00.000Z",105887.47,"2025-05-30T12:07:00.000Z",105933.76,"MACD Crossover",46,"Win"
"2025-05-30T11:53:00.000Z",105887.47,"2025-05-30T12:00:00.000Z",105860.16,"RSI-EMA",-27,"Loss"
"2025-05-30T12:08:00.000Z",105900.01,"2025-05-30T12:09:00.000Z",105674.39,"MACD Crossover",-226,"Loss"